"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker"
"225",3,61,"high",5,"enlaces","Yes",208.199951171875,208.199951171875,208.199951171875,208.199951171875,"Webcam"
"226",3,5,"low",6,"lujo","Yes",163.199951171875,163.199951171875,163.199951171875,163.199951171875,"Webcam"
"227",3,29,"low",5,"citas","Yes",193.300048828125,193.300048828125,193.300048828125,193.300048828125,"Webcam"
"228",3,33,"low",4,"hombro","Yes",621.90014648438,621.90014648438,621.90014648438,621.90014648438,"Webcam"
"229",3,71,"high",3,"ambiente","Yes",239.900146484375,239.900146484375,239.900146484375,239.900146484375,"Webcam"
"230",3,66,"high",4,"fuerzas","Yes",336.099853515625,336.099853515625,336.099853515625,336.099853515625,"Webcam"
"231",3,57,"high",5,"mayoría","Yes",208.199951171875,208.199951171875,208.199951171875,208.199951171875,"Webcam"
"232",4,68,"low",6,"piedras","Yes",129.40014648437,129.40014648437,129.40014648437,129.40014648437,"Webcam"
"233",4,16,"high",6,"mujer","Yes",191,191,191,191,"Webcam"
"234",4,55,"low",5,"cristal","Yes",110.7001953125,NA,383.100341796875,383.100341796875,"Webcam"
"235",4,10,"high",8,"hora","Yes",143.89990234375,143.89990234375,143.89990234375,143.89990234375,"Webcam"
"236",4,17,"high",7,"noche","Yes",270.499999999995,270.499999999995,270.499999999995,270.499999999995,"Webcam"
"237",4,83,"low",3,"sistemas","Yes",432,432,432,432,"Webcam"
"238",4,24,"high",5,"pasos","Yes",240.19995117187,240.19995117187,240.19995117187,240.19995117187,"Webcam"
"239",4,53,"low",4,"enfermo","Yes",223.7001953125,223.7001953125,223.7001953125,223.7001953125,"Webcam"
"240",4,63,"low",7,"rumores","Yes",144.09985351563,144.09985351563,144.09985351563,465.09985351563,"Webcam"
"241",4,78,"low",8,"pantalla","Yes",193.60009765624,NA,337.10009765624,337.10009765624,"Webcam"
"242",4,28,"high",4,"islas","Yes",337.099853515625,337.099853515625,337.099853515625,337.099853515625,"Webcam"
"243",4,44,"high",5,"libros","Yes",175.899902343745,175.899902343745,175.899902343745,175.899902343745,"Webcam"
"244",4,74,"low",3,"universo","Yes",337.400146484375,337.400146484375,337.400146484375,337.400146484375,"Webcam"
"245",4,94,"low",6,"intereses","Yes",271,271,271,413.80004882812,"Webcam"
"246",4,18,"high",6,"serie","Yes",253.80004882812,253.80004882812,253.80004882812,253.80004882812,"Webcam"
"247",4,62,"low",5,"colores","Yes",351.90014648438,351.90014648438,351.90014648438,351.90014648438,"Webcam"
"248",4,2,"high",5,"tipo","Yes",207.90014648437,207.90014648437,207.90014648437,207.90014648437,"Webcam"
"249",4,50,"high",4,"reglas","Yes",224,224,224,224,"Webcam"
"250",4,88,"low",5,"imágenes","Yes",176.19995117188,176.19995117188,176.19995117188,176.19995117188,"Webcam"
"251",4,99,"low",6,"pastillas","Yes",156.699951171875,156.699951171875,156.699951171875,156.699951171875,"Webcam"
"252",4,93,"low",4,"impuestos","Yes",128.300048828125,128.300048828125,128.300048828125,128.300048828125,"Webcam"
"253",4,89,"low",3,"tarjetas","Yes",192.199951171875,NA,496.500000000005,496.500000000005,"Webcam"
"254",4,92,"low",4,"empleados","Yes",144.099853515625,NA,272.09985351562,608.99999999999,"Webcam"
"255",4,64,"low",5,"equipos","Yes",173.5,173.5,173.5,173.5,"Webcam"
"256",4,19,"high",6,"gente","Yes",208,208,208,208,"Webcam"
"257",4,46,"high",6,"líneas","Yes",239.19995117187,239.19995117187,239.19995117187,239.19995117187,"Webcam"
"258",4,91,"low",3,"corazones","Yes",95.5,95.5,95.5,95.5,"Webcam"
"259",4,73,"low",5,"tribunal","Yes",287.39990234375,287.39990234375,287.39990234375,414.19995117188,"Webcam"
"260",4,3,"high",6,"modo","Yes",96,96,96,96,"Webcam"
"261",4,12,"high",4,"mundo","Yes",127.400146484375,127.400146484375,127.400146484375,127.400146484375,"Webcam"
"262",4,40,"high",6,"verdad","Yes",207.89990234376,207.89990234376,207.89990234376,207.89990234376,"Webcam"
"263",4,97,"low",6,"criaturas","Yes",207.69995117188,207.69995117188,207.69995117188,207.69995117188,"Webcam"
"264",4,82,"low",5,"informes","Yes",143.5,143.5,143.5,399.59985351562,"Webcam"
"265",4,51,"low",6,"experto","Yes",367.799804687495,367.799804687495,367.799804687495,367.799804687495,"Webcam"
